id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
256226,Azul: Stained Glass of Sintra,2018,489,6.99793,7.28816,14659,0,22,,,120,,,,,2.01,10.2362,10.2362,2.75591,3.06443
292375,The Great Wall,2021,490,6.99617,7.80978,4963,0,,,,,,284,,,3.9274,12.2047,12.2047,5.23622,7.82421
1,Die Macher,1986,491,6.99531,7.58062,5958,0,,,,,,286,,,4.3103,10.7,14.6,2.8,3.74786
293141,King of Tokyo: Dark Edition,2020,492,6.99487,7.6593,5920,0,,,,104,,,,,1.6241,10.2362,10.2362,2.75591,2.0018
265736,Tiny Towns,2019,493,6.9945,7.19176,21616,0,,,,132,,,,,2.0659,11.6929,11.6929,2.87402,2.79987
138161,Firefly: The Game,2013,494,6.9929,7.38376,12499,0,,,,,,,136,,2.9542,10.5,10.5,3,4.8
34219,Biblios,2007,495,6.99272,7.19566,18234,0,,,,126,,363,,,1.6886,5.5,7.75,1.75,0.875
166669,San Juan (Second Edition),2014,496,6.99194,7.44133,7762,0,,,,,,327,,,2.0837,7.48,10.75,2.09,1.29411
316412,The LOOP,2020,497,6.99164,7.70808,5303,0,,,,,,315,,,2.8068,11.7,11.7,2.8,3.30693
315610,Massive Darkness 2: Hellscape,2022,498,6.99069,8.00848,3985,0,,,,,,,64,,2.7478,12.7953,12.7953,6.29921,9.93844
144592,Bruxelles 1893,2013,499,6.99062,7.59596,5809,0,,,,,,295,,,3.5833,8.85827,12.4016,2.87402,2.86601
385610,Kutná Hora: The City of Silver,2023,500,6.99036,7.76378,4915,0,,,,,,293,,,3.3292,11.7,11.7,2.8,5.71879
